frame,total_objects,details
1,1,{'person': 1}
2,1,{'person': 1}
3,1,{'person': 1}
4,1,{'person': 1}
5,1,{'person': 1}
6,1,{'person': 1}
7,1,{'person': 1}
8,1,{'person': 1}
9,1,{'person': 1}
10,1,{'person': 1}
11,1,{'person': 1}
12,1,{'person': 1}
13,1,{'person': 1}
14,1,{'person': 1}
15,1,{'person': 1}
16,1,{'person': 1}
17,1,{'person': 1}
18,1,{'person': 1}
19,1,{'person': 1}
20,1,{'person': 1}
21,1,{'person': 1}
22,1,{'person': 1}
23,1,{'person': 1}
24,1,{'person': 1}
25,1,{'person': 1}
26,1,{'person': 1}
27,1,{'person': 1}
28,1,{'person': 1}
29,1,{'person': 1}
30,1,{'person': 1}
31,1,{'person': 1}
32,1,{'person': 1}
33,1,{'person': 1}
34,1,{'person': 1}
35,1,{'person': 1}
36,1,{'person': 1}
37,1,{'person': 1}
38,1,{'person': 1}
39,1,{'person': 1}
40,1,{'person': 1}
41,1,{'person': 1}
42,1,{'person': 1}
43,1,{'person': 1}
44,1,{'person': 1}
45,1,{'person': 1}
46,1,{'person': 1}
47,1,{'person': 1}
48,1,{'person': 1}
49,1,{'person': 1}
50,1,{'person': 1}
51,1,{'person': 1}
52,1,{'person': 1}
53,1,{'person': 1}
54,1,{'person': 1}
55,1,{'person': 1}
56,1,{'person': 1}
57,1,{'person': 1}
58,1,{'person': 1}
59,1,{'person': 1}
60,1,{'person': 1}
61,1,{'person': 1}
62,1,{'person': 1}
63,1,{'person': 1}
64,1,{'person': 1}
65,1,{'person': 1}
66,1,{'person': 1}
67,1,{'person': 1}
68,1,{'person': 1}
69,1,{'person': 1}
70,1,{'person': 1}
71,1,{'person': 1}
72,1,{'person': 1}
73,1,{'person': 1}
74,1,{'person': 1}
75,1,{'person': 1}
76,1,{'person': 1}
77,1,{'person': 1}
78,1,{'person': 1}
79,1,{'person': 1}
80,1,{'person': 1}
81,1,{'person': 1}
82,1,{'person': 1}
83,1,{'person': 1}
84,1,{'person': 1}
85,1,{'person': 1}
86,1,{'person': 1}
87,1,{'person': 1}
88,1,{'person': 1}
89,1,{'person': 1}
90,1,{'person': 1}
91,1,{'person': 1}
92,1,{'person': 1}
93,1,{'person': 1}
94,1,{'person': 1}
95,1,{'person': 1}
96,1,{'person': 1}
97,1,{'person': 1}
98,1,{'person': 1}
99,1,{'person': 1}
100,1,{'person': 1}
101,1,{'person': 1}
102,1,{'person': 1}
103,1,{'person': 1}
104,1,{'person': 1}
105,1,{'person': 1}
106,1,{'person': 1}
107,1,{'person': 1}
108,1,{'person': 1}
109,1,{'person': 1}
110,1,{'person': 1}
111,1,{'person': 1}
112,1,{'person': 1}
113,1,{'person': 1}
114,1,{'person': 1}
115,1,{'person': 1}
116,1,{'person': 1}
117,1,{'person': 1}
118,1,{'person': 1}
119,1,{'person': 1}
120,1,{'person': 1}
121,1,{'person': 1}
122,1,{'person': 1}
123,1,{'person': 1}
124,2,"{'person': 1, 'boat': 1}"
125,1,{'person': 1}
126,1,{'person': 1}
127,2,"{'person': 1, 'boat': 1}"
128,3,"{'person': 1, 'boat': 2}"
129,2,"{'person': 1, 'boat': 1}"
130,1,{'person': 1}
131,1,{'person': 1}
132,1,{'person': 1}
133,1,{'person': 1}
134,1,{'person': 1}
135,1,{'person': 1}
136,1,{'person': 1}
137,1,{'person': 1}
138,1,{'person': 1}
139,1,{'person': 1}
140,1,{'person': 1}
141,2,"{'person': 1, 'boat': 1}"
142,2,"{'person': 1, 'boat': 1}"
143,2,"{'person': 1, 'boat': 1}"
144,2,"{'person': 1, 'boat': 1}"
145,2,"{'person': 1, 'boat': 1}"
146,1,{'person': 1}
147,1,{'person': 1}
148,1,{'person': 1}
149,1,{'person': 1}
150,1,{'person': 1}
151,1,{'person': 1}
152,1,{'person': 1}
153,1,{'person': 1}
154,1,{'person': 1}
155,1,{'person': 1}
156,1,{'person': 1}
157,1,{'person': 1}
158,1,{'person': 1}
159,1,{'person': 1}
160,1,{'person': 1}
161,1,{'person': 1}
162,1,{'person': 1}
163,1,{'person': 1}
164,1,{'person': 1}
165,1,{'person': 1}
166,1,{'person': 1}
167,1,{'person': 1}
168,1,{'person': 1}
169,1,{'person': 1}
170,1,{'person': 1}
171,1,{'person': 1}
172,1,{'person': 1}
173,1,{'person': 1}
174,1,{'person': 1}
175,1,{'person': 1}
176,1,{'person': 1}
177,1,{'person': 1}
178,1,{'person': 1}
179,1,{'person': 1}
180,1,{'person': 1}
181,1,{'person': 1}
182,1,{'person': 1}
183,1,{'person': 1}
184,1,{'person': 1}
185,1,{'person': 1}
186,1,{'person': 1}
187,1,{'person': 1}
188,1,{'person': 1}
189,1,{'person': 1}
190,1,{'person': 1}
191,1,{'person': 1}
192,1,{'person': 1}
193,1,{'person': 1}
194,1,{'person': 1}
195,1,{'person': 1}
196,1,{'person': 1}
197,1,{'person': 1}
198,1,{'person': 1}
199,1,{'person': 1}
200,2,"{'person': 1, 'bird': 1}"
201,2,"{'person': 1, 'bird': 1}"
202,1,{'person': 1}
203,2,"{'person': 1, 'bird': 1}"
204,2,"{'person': 1, 'bird': 1}"
205,1,{'person': 1}
206,1,{'person': 1}
207,1,{'person': 1}
208,1,{'person': 1}
209,1,{'person': 1}
210,1,{'person': 1}
211,1,{'person': 1}
212,2,"{'person': 1, 'bird': 1}"
213,2,"{'person': 1, 'bird': 1}"
214,2,"{'person': 1, 'bird': 1}"
215,2,"{'person': 1, 'boat': 1}"
216,2,"{'person': 1, 'boat': 1}"
